name,type,pos,apos,lpos,bran,outDia,thick,normal,interPos,p3Pos,outDia2,thick2,rest,mass,wvol,remark,Ispec,material
 =30137/1702736,TUBI,X 111220mm Y -8650mm Z 30189mm,X 111220mm Y -8650mm Z 30439mm,X 111220mm Y -8650mm Z 29938mm,X5-601-25A_005/B1,33.4,3.38,   0.000   1.000   0.000,,,0,0,,1.2673,111203.3+-8666.7+29938.1+111236.7+-8633.3+30439.4,,,A312_TP304L
 =21945/2687524,UBOLT,X 111220mm Y -8650mm Z 30046mm,X 111220mm Y -8650mm Z 30046mm,X 111220mm Y -8650mm Z 30046mm,X5-601-25A_005/B1,0,0,   0.000  -1.000   0.000,,,0,0,2,0.4823,111160.5+-8678.8+30025.7+111279.5+-8595.7+30065.7,,,
 =54713/110536,ELBO,X 111220mm Y -8650mm Z 29900mm,X 111220mm Y -8650mm Z 29938mm,X 111220mm Y -8688mm Z 29900mm,X5-601-25A_005/B1,33.4,3.38,  -1.000   0.000   0.000,X 111220mm Y -8661mm Z 29911mm,,0,0,,0.15,111203.2+-8688.1+29883.2+111236.8+-8633.2+29938.1,,,A312_TP304L
 =30137/1702734,TUBI,X 111220mm Y -9300mm Z 29900mm,X 111220mm Y -8688mm Z 29900mm,X 111220mm Y -9912mm Z 29900mm,X5-601-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,3.0938,111203.3+-9911.9+29883.3+111236.7+-8688.1+29916.7,,,A312_TP304L
 =21945/2687550,UBOLT,X 111220mm Y -9640mm Z 29900mm,X 111220mm Y -9640mm Z 29900mm,X 111220mm Y -9640mm Z 29900mm,X5-601-25A_005/B1,0,0,   0.000   0.000  -1.000,,,0,0,3,0.3512,111181+-9660+29869.9+111259+-9620+29956.3,,,
 =21945/2687542,UBOLT,X 111220mm Y -9840mm Z 29900mm,X 111220mm Y -9840mm Z 29900mm,X 111220mm Y -9840mm Z 29900mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.4823,111160.5+-9860+29845.7+111279.5+-9820+29928.8,,,
 =54713/110537,ELBO,X 111220mm Y -9950mm Z 29900mm,X 111220mm Y -9912mm Z 29900mm,X 111258mm Y -9950mm Z 29900mm,X5-601-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,X 111231mm Y -9939mm Z 29900mm,,0,0,,0.15,111203.2+-9966.8+29883.2+111258.1+-9911.9+29916.8,,,A312_TP304L
 =21945/2582697,TUBI,X 114258mm Y -9950mm Z 29900mm,X 111258mm Y -9950mm Z 29900mm,X 117258mm Y -9950mm Z 29900mm,X5-601-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,15.168,111258.1+-9966.7+29883.3+117258.1+-9933.3+29916.7,,,A312_TP304L
 =21945/2687517,UBOLT,X 112090mm Y -9950mm Z 29900mm,X 112090mm Y -9950mm Z 29900mm,X 112090mm Y -9950mm Z 29900mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,112070+-9989+29843.7+112110+-9911+29930.1,,,
 =21945/2687515,UBOLT,X 113585mm Y -9950mm Z 29900mm,X 113585mm Y -9950mm Z 29900mm,X 113585mm Y -9950mm Z 29900mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,113565+-9989+29843.7+113605+-9911+29930.1,,,
