name,type,pos,poss,pose,size,stru,ori,division,weld
 =21945/2402069,SCTN,X 114965mm Y -10262mm Z 29873mm,X 114965mm Y -10262mm Z 29873mm,X 115300mm Y -10262mm Z 29873mm,ANG_50x50x6,=30137/314185,   0.000   0.000  -1.000,SUPP,
 =21945/2402070,SCTN,X 115300mm Y -10262mm Z 29873mm,X 115300mm Y -10262mm Z 29873mm,X 115300mm Y -10027mm Z 29873mm,ANG_50x50x6,=30137/314185,   0.000   0.000  -1.000,SUPP,
 =21945/2402093,SCTN,X 110679mm Y -10215mm Z 29873mm,X 110679mm Y -10215mm Z 29873mm,X 110380mm Y -10215mm Z 29873mm,ANG_50x50x6,=21945/2402091,   0.000   0.000  -1.000,SUPP,
 =21945/2403036,SCTN,X 112065mm Y -7198mm Z 30451mm,X 112065mm Y -7198mm Z 30451mm,X 112065mm Y -7545mm Z 30451mm,ANG_130x130x12,=21945/2203239,   0.000   0.000  -1.000,SUPP,
 =21945/2403050,SCTN,X 110785mm Y -8405mm Z 29778mm,X 110785mm Y -8405mm Z 29778mm,X 110785mm Y -8405mm Z 29683mm,ANG_100x100x13,=21945/2403048,   1.000   0.000   0.000,SUPP,
 =21945/2403051,SCTN,X 110785mm Y -8405mm Z 30451mm,X 110785mm Y -8405mm Z 30451mm,X 110785mm Y -8405mm Z 29778mm,ANG_100x100x13,=21945/2403048,   1.000   0.000   0.000,SUPP,
 =21945/2403055,SCTN,X 111350mm Y -8405mm Z 30451mm,X 111350mm Y -8405mm Z 30451mm,X 111350mm Y -8195mm Z 30451mm,ANG_65x65x6,=21945/2403048,   0.000   0.000  -1.000,SUPP,
 =21945/2403063,SCTN,X 111350mm Y -8205mm Z 31159mm,X 111350mm Y -8205mm Z 31159mm,X 111350mm Y -8205mm Z 30451mm,ANG_65x65x6,=21945/2403048,   0.000  -1.000   0.000,SUPP,
 =21945/2403065,SCTN,X 110854mm Y -8405mm Z 30711mm,X 110854mm Y -8405mm Z 30711mm,X 110535mm Y -8405mm Z 30711mm,ANG_65x65x6,=21945/2403048,   0.000   0.000  -1.000,SUPP,
 =21945/2403067,SCTN,X 110860mm Y -8405mm Z 31159mm,X 110860mm Y -8405mm Z 31159mm,X 110860mm Y -8405mm Z 30451mm,ANG_65x65x6,=21945/2403048,   0.000  -1.000   0.000,SUPP,
 =21945/2403069,SCTN,X 110860mm Y -8195mm Z 31159mm,X 110860mm Y -8195mm Z 31159mm,X 110860mm Y -8405mm Z 31159mm,ANG_65x65x6,=21945/2403048,  -1.000   0.000   0.000,SUPP,
